variable_name,variable_label,value_label_set,value_labels
q15_hhold_12,Please could you tell us how the other members of this household are related to you?  - Prefer not to say /  Not applicable,labels36,1.0 = Prefer not to say /  Not applicable
q16,Do you have any physical or mental health conditions or illnesses that have lasted or are expected to last 12 months or more?,labels37,1.0 = Yes; 2.0 = No; 3.0 = Prefer not to say
q17,Do these physical or mental health conditions or illnesses have a substantial effect on your ability to do normal daily activities?,labels37,1.0 = Yes; 2.0 = No; 3.0 = Prefer not to say
q18,"Finally, some questions about your work and employment.  ...",labels38,1.0 = Working full-time; 2.0 = Working part-time; 3.0 = Self-employed; 4.0 = Unemployed – less than 12 months; 5.0 = Student – in full-time education studying for a recognised qualification; 6.0 = Student – in part-time education studying for a recognised qualification; 7.0 = Unemployed (long-term) – more than 12 months; 8.0 = Not working – retired; 9.0 = Not working – looking after house/children; 10.0 = Not working – long-term sick or disabled; 11.0 = Other  [TYPE IN THE BOX BELOW]; 12.0 = Prefer not to say
q18_oth,(no var label),,
q19,Where are you studying?,labels39,1.0 = School Year 11; 2.0 = School sixth form; 3.0 = Sixth form college; 4.0 = A further education college or other further education institution; 5.0 = A university or other higher education institution; 6.0 = Other; 7.0 = Don’t know
q20,Have you ever worked?,labels40,1.0 = Yes; 2.0 = No; 3.0 = Prefer not to say
q21,Are (or were) you working as an employee or are (or were) you self-employed?,labels41,1.0 = Employed; 2.0 = Self-employed; 3.0 = Prefer not to say
q22,"In your job, do you (or did you) have any formal responsibility for supervising the work of other employees?",labels37,1.0 = Yes; 2.0 = No; 3.0 = Prefer not to say
q23,How many people work (or worked) for your employer at the place where you work (or last worked)?,labels42,1.0 = 1 to 24; 2.0 = 25 to 499; 3.0 = 500 or more; 4.0 = Prefer not to say
q24,Are (or were) you working on your own or do (or did) you have employees?,labels43,1.0 = On my own/with partner but no employees; 2.0 = With employees; 3.0 = Prefer not to say
q25,How many people do (or did) you employ at the place where you work (or worked)?,labels42,1.0 = 1 to 24; 2.0 = 25 to 499; 3.0 = 500 or more; 4.0 = Prefer not to say
q26,Which of these best describes the sort of work you do (or did in your last job)?,labels44,"1.0 = Senior managers or administrators (usually responsible for planning, organising and co-ordinating work, and for finance); 2.0 = Modern professional occupations such as: teacher – nurse – physiotherapist -  social worker - welfare officer – ar; 3.0 = Traditional professional occupations such as: accountant – solicitor – medical practitioner – scientist – civil/; 4.0 = Middle or junior managers such as: office manager – retail manager – bank manager – restaurant manager – warehou; 5.0 = Clerical and intermediate occupations such as: secretary – personal assistant – clerical worker – office clerk –; 6.0 = Technical and craft occupations such as: motor mechanic – fitter – inspector – plumber – printer – tool maker; 7.0 = Semi-routine manual and service occupations such as: postal worker – machine operative – security guard – caretake; 8.0 = Routine manual and service occupations such as: HGV driver – van driver – cleaner – porter – packer – sewing m; 9.0 = Prefer not to say"
q27,"How often, on average, would you say you work from home?",labels45,1.0 = Always; 2.0 = Often; 3.0 = Sometimes; 4.0 = Never
q28a_1,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - No travel for work in the last week",labels46,1.0 = No travel for work in the last week
